"GROUP","SEASON","MOISTURE","LIPID","PROTEIN"
"M-1",3,68.79,10.54209466,20.94
"M-1",3,70.91,7.084224665,-999
"M-1",3,68.04,9.839588226,22.87
"M-1",3,67.08,10.44164668,21.99
"M-1",3,67.11,10.66633392,-999
"M-1",3,73.07,4.047251159,22.29
"M-1",3,73.17,4.13198425,22.73
"M-1",3,73.07,4.334148899,22.74
"M-1",3,71.17,6.068179546,23.69
"M-1",3,71.87,5.607663141,22.77
"M-1",3,71.85,5.172929333,22.56
"M-1",3,71.66,5.25606469,21.78
"M-1",3,71.93,5.46644681,21.9
"M-1",3,71.72,5.252142715,-999
"M-1",3,75.28,2.635914333,21.82
"M-1",3,75.19,2.564229739,22.31
"M-1",3,75.12,2.358724799,21.71
"M-1",3,69.66,9.469395866,22.11
"M-1",3,70.19,8.693280436,21.48
"M-1",3,69.85,8.985911286,21.42
"M-2",3,75.48,1.482775836,21.39
"M-2",3,75.43,1.50267086,21.09
"M-2",3,75.46,1.600757991,21.38
"M-2",3,70.73,7.177415332,21.22
"M-2",3,70.67,6.606831214,21.15
"M-2",3,70.65,7.606854638,21.16
"M-2",3,75.41,0.868090202,21.9
"M-2",3,75.45,0.747198007,21.9
"M-2",3,75.88,0.759240759,22.43
"M-2",3,72.24,3.901027636,22.74
"M-2",3,73.37,3.460293752,22.12
"M-2",3,72.97,4.373410462,22.12
"M-2",3,71.1,6.487483794,21.78
"M-2",3,71.22,6.916354557,21.5
"M-2",3,70.39,6.536891367,22
"M-2",3,75.7,1.009444805,21.19
"M-2",3,75.92,1.005475361,21.86
"M-2",3,75.81,1.239916343,21.85
"M-2",3,75.16,2.587625268,20.46
"M-2",3,75.4,2.521427148,20.93
"M-2",3,74.76,2.795741717,21.33
"M-2",3,65.33,16.09551404,19.17
"M-2",3,64.41,15.93978966,18.93
"M-2",3,65.1,15.80972368,19.94
"M-2",3,71.94,6.216970785,20.86
"M-2",3,72.59,5.563879732,20.94
"M-2",3,71.85,5.712011145,21.14
"M-2",3,68.9,10.21647176,20.25
"M-2",3,68.68,10.45111655,20.37
"M-2",3,68.9,10.05745691,19.92
"M-3",3,75.93,1.059364381,21.05
"M-3",3,75.92,1.302005388,20.6
"M-3",3,76.65,1.014847773,21.15
"M-3",3,67.7,12.03583873,19.43
"M-3",3,67.07,12.46946203,19.12
"M-3",3,67.07,12.17638549,19.4
"M-3",3,76.19,2.697859632,19.68
"M-3",3,76.32,2.555799123,19.47
"M-3",3,75.98,2.863854458,20.75
"M-3",3,74.18,4.641434263,20.55
"M-3",3,74.44,4.114160482,20.14
"M-3",3,74.81,4.41468254,20.19
"M-3",3,75.98,1.262223109,21.13
"M-3",3,76.09,1.415752742,21.28
"M-3",3,76.09,1.396578383,22.05
"M-3",3,76.96,0.614170869,20.65
"M-3",3,76.82,0.549203655,20.81
"M-3",3,76.95,0.523534105,20.77
"M-3",3,66.76,12.78529691,18.33
"M-3",3,66.93,12.37072196,18.81
"M-3",3,66.78,12.88181274,19.07
"M-3",3,73.94,3.421920272,22.06
"M-3",3,73.33,3.765293383,20.65
"M-3",3,73.11,3.89091454,22.12
"M-3",3,74.92,3.489939588,20.4
"M-3",3,74.7,3.771422878,20.26
"M-3",3,74.47,3.578548644,20.39
"M-3",3,71.83,4.934276041,20.19
"M-3",3,72.03,5.096048572,20.46
"M-3",3,71.65,4.732694993,20.71
"M-4",3,76.42,0.965894946,20.33
"M-4",3,76.8,1.010352379,20.93
"M-4",3,76.48,0.970438937,20.94
"M-4",3,76.7,1.3998904,20.05
"M-4",3,77.12,1.309956667,20.15
"M-4",3,76.88,1.32980053,19.98
"M-4",3,68.3,11.97885498,19.72
"M-4",3,68.46,12.49500799,19.38
"M-4",3,67.96,11.64908439,20
"M-4",3,78.99,0.664003994,20.14
"M-4",3,78.18,0.617991528,19.56
"M-4",3,78.6,0.663374732,19.57
"M-4",3,77.4,0.768271389,20.01
"M-4",3,77.95,0.658616905,20.91
"M-4",3,77.91,0.594346219,20.39
"M-4",3,76.92,0.389707719,20.1
"M-4",3,77.79,0.413965087,20.04
"M-4",3,77.54,0.42867112,19.82
"M-4",3,68.79,0.468057561,20.52
"M-4",3,68.64,0.36349151,19.67
"M-4",3,68.75,0.383695436,19.99
"M-4",3,69.9,2.589482104,18.55
"M-4",3,69.93,2.545074211,19.64
"M-4",3,69.88,2.609650217,19.02
"M-4",3,74.22,3.803098451,19.98
"M-4",3,74.77,3.643159731,21.25
"M-4",3,74.6,3.561111665,20.09
"M-4",3,71.58,7.198482428,19.84
"M-4",3,72.43,6.865582277,20.1
"M-4",3,71.83,6.895693303,20.1
